"folioviv","tipo_viv","dotac_agua","disp_elect","tenencia","ubica_geo","est_socio","edo"
"1404830706","1","1","1","1","14098","2","14"
"1404903201","1","1","1","2","14098","2","14"
"1404903202","3","1","1","1","14098","2","14"
"1404903203","1","1","1","4","14098","2","14"
"1404903204","1","1","1","4","14098","2","14"
"1404903205","1","1","1","4","14098","2","14"
"1404903206","3","1","1","1","14098","2","14"
"1404918501","1","1","1","4","14098","2","14"
"1404918503","1","1","1","2","14098","2","14"
"1404918504","1","1","1","2","14098","2","14"
"1404918505","1","1","1","4","14098","2","14"
"1404918506","1","1","1","2","14098","2","14"
"1404934301","1","1","1","1","14098","2","14"
"1404934302","1","1","1","4","14098","2","14"
"1404934303","4","1","1","1","14098","2","14"
"1404934304","1","1","1","2","14098","2","14"
"1404934306","1","1","1","1","14098","2","14"
"1404940901","1","1","1","5","14098","2","14"
"1404940902","1","1","1","4","14098","2","14"
"1404940903","1","1","1","4","14098","2","14"
"1404940904","1","1","1","1","14098","2","14"
"1404940905","1","1","1","4","14098","2","14"
"1404940906","1","1","1","2","14098","2","14"
"1405081801","1","1","1","4","14098","2","14"
"1405081802","1","1","1","1","14098","2","14"
"1405081803","1","1","1","4","14098","2","14"
"1405081804","1","1","1","4","14098","2","14"
"1405081805","1","1","1","4","14098","2","14"
"1405081806","3","1","1","1","14098","2","14"
"1405176401","1","1","1","4","14098","2","14"
"1405176403","1","","1","4","14098","2","14"
"1405176404","1","1","4","2","14098","2","14"
"1405176405","1","1","4","2","14098","2","14"
"1405176406","1","1","1","4","14098","2","14"
"1405274001","1","1","1","1","14098","2","14"
"1405274004","2","2","1","1","14098","2","14"
"1405274005","1","1","1","1","14098","2","14"
"1405274006","1","1","1","2","14098","2","14"
"1405343601","1","1","1","5","14098","2","14"
"1405343602","2","1","1","1","14098","2","14"
"1405343603","1","1","1","4","14098","2","14"
"1405343604","1","1","1","2","14098","2","14"
"1405343605","3","1","1","2","14098","2","14"
"1405343606","3","1","1","2","14098","2","14"
"1405383702","1","1","1","1","14098","2","14"
"1405383703","1","1","1","4","14098","2","14"
"1405383704","1","","1","6","14098","2","14"
"1405383705","1","1","1","4","14098","2","14"
"1405393202","1","","1","3","14098","2","14"
"1405393203","1","2","1","2","14098","2","14"
"1405393204","1","","1","2","14098","2","14"
"1405393205","1","2","4","4","14098","2","14"
"1405398402","2","2","1","3","14098","3","14"
"1405398405","2","1","1","1","14098","3","14"
"1405398406","1","1","1","1","14098","3","14"
"1405450002","2","1","1","4","14098","3","14"
"1405450003","2","1","1","1","14098","3","14"
"1405450004","2","1","1","1","14098","3","14"
"1405450005","2","1","1","4","14098","3","14"
"1405450006","2","1","1","4","14098","3","14"
"1405459601","2","1","1","1","14098","3","14"
"1405459602","2","1","1","4","14098","3","14"
"1405459604","2","1","1","2","14098","3","14"
"1405459605","2","1","1","4","14098","3","14"
"1405459606","2","1","1","3","14098","3","14"
"1405460701","2","1","1","4","14098","3","14"
"1405460702","2","1","1","4","14098","3","14"
"1405460704","2","1","1","4","14098","3","14"
"1405460705","2","1","1","4","14098","3","14"
"1405462201","2","1","1","3","14098","3","14"
"1405462202","2","1","1","1","14098","3","14"
"1405462203","2","1","1","1","14098","3","14"
"1405462204","2","1","1","4","14098","3","14"
"1405462205","2","1","1","4","14098","3","14"
"1405462206","2","1","1","4","14098","3","14"
"1405466501","1","1","1","4","14098","3","14"
"1405466505","1","1","1","1","14098","3","14"
"1405470301","2","1","1","4","14098","3","14"
"1405470302","2","1","1","4","14098","3","14"
"1405470305","2","1","1","4","14098","3","14"
"1405470306","2","1","1","4","14098","3","14"
"1405560801","1","1","1","4","14098","4","14"
"1405560802","1","1","1","3","14098","4","14"
"1405560803","1","1","1","2","14098","4","14"
"1405560804","1","1","1","4","14098","4","14"
"1405560805","1","1","1","3","14098","4","14"
"1405695401","1","1","1","3","14098","4","14"
"1405695402","1","1","1","3","14098","4","14"
"1405695404","1","1","1","1","14098","4","14"
"1405695405","1","1","1","1","14098","4","14"
"1405695406","1","1","1","4","14098","4","14"
"1405700001","1","1","1","2","14098","4","14"
"1405700006","1","1","1","4","14098","4","14"
"1405706601","1","1","1","1","14098","4","14"
"1405706602","1","1","1","3","14098","4","14"
"1405706605","1","1","1","3","14098","4","14"
"1405706606","1","1","1","1","14098","4","14"
"1405712501","1","1","1","4","14098","2","14"
"1405712502","1","1","4","6","14098","2","14"
"1405712504","2","","1","1","14098","2","14"
"1405712505","1","5","1","4","14098","2","14"
"1405712506","1","","4","4","14098","2","14"
"1405713703","1","1","1","3","14098","4","14"
"1405713704","1","1","1","4","14098","4","14"
"1405713705","1","1","1","4","14098","4","14"
"1405713706","1","1","1","4","14098","4","14"
"1405844301","1","1","1","1","14101","2","14"
"1405844302","1","1","1","4","14101","2","14"
"1405844303","1","1","1","4","14101","2","14"
"1405844304","1","1","1","1","14101","2","14"
"1405844305","1","1","1","1","14101","2","14"
"1405878901","1","1","1","2","14101","3","14"
"1405878906","1","1","1","2","14101","3","14"
"1405969901","1","","1","4","14101","2","14"
"1405969902","1","1","1","1","14101","2","14"
"1405969903","2","1","1","1","14101","2","14"
"1405969904","1","1","1","1","14101","2","14"
"1405969905","1","","1","4","14101","2","14"
"1405969906","1","","1","4","14101","2","14"
"1405988802","1","1","1","1","14101","2","14"
"1405988803","1","1","1","4","14101","2","14"
"1405988804","1","1","1","4","14101","2","14"
"1405988806","1","1","1","4","14101","2","14"
"1405991402","1","1","1","1","14101","2","14"
"1405991403","1","1","1","4","14101","2","14"
"1405991404","1","1","1","4","14101","2","14"
"1405991405","1","1","1","4","14101","2","14"
"1405991406","1","1","1","1","14101","2","14"
"1406017001","1","1","1","1","14101","2","14"
"1406017002","1","1","1","2","14101","2","14"
"1406017003","1","1","1","1","14101","2","14"
"1406017005","1","1","1","2","14101","2","14"
"1406017006","1","1","1","4","14101","2","14"
"1406238802","2","1","1","4","14101","3","14"
"1406238805","2","1","1","4","14101","3","14"
"1406238806","2","1","1","2","14101","3","14"
"1406263401","1","1","1","4","14101","3","14"
"1406263403","1","1","1","1","14101","3","14"
"1406263405","1","1","1","1","14101","3","14"
"1406263406","1","1","1","3","14101","3","14"
"1406280001","1","1","1","4","14101","3","14"
"1406280002","1","1","1","3","14101","3","14"
